record_id,rsn,earthquake_name,year,station_name,magnitude,r_rup_km,vs30_ms,mechanism,raw_dt,raw_npts,raw_file,raw_pga_g
RSN0001,1,Imperial Valley-06,1979,Station_Impe_001,6.669848365268068,2.65303503121774,227.75891064146458,Strike-Slip,0.005,6672,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0001_Imperial_Valley-06.AT2,0.1508656300551234
RSN0002,2,Loma Prieta,1989,Station_Loma_002,6.946050496874451,9.659703177975373,653.0870428460343,Reverse-Oblique,0.005,7114,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0002_Loma_Prieta.AT2,0.12431829545314275
RSN0003,3,Northridge-01,1994,Station_Nort_003,6.536740154106308,6.604255393590816,405.7955520232489,Reverse,0.005,6459,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0003_Northridge-01.AT2,0.11243292328999711
RSN0004,4,Kobe (Hyogo-ken Nanbu),1995,Station_Kobe_004,6.902046029284208,4.09107584424761,207.6182800104394,Strike-Slip,0.005,7043,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0004_Kobe_(Hyogo-ken_Nanbu).AT2,0.15821227417019335
RSN0005,5,Chi-Chi (Taiwan-01),1999,Station_Chi-_005,7.513334000690882,84.58136465471863,274.6951219914844,Reverse,0.005,8021,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0005_Chi-Chi_(Taiwan-01).AT2,0.04904254817015997
RSN0006,6,Kocaeli (Turkey),1999,Station_Koca_006,7.685346333767591,24.289577529028673,280.2004309325811,Strike-Slip,0.005,8297,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0006_Kocaeli_(Turkey).AT2,0.12192446646720427
RSN0007,7,Landers,1992,Station_Land_007,7.118774505479138,54.82328955650825,536.3362402110587,Strike-Slip,0.005,7390,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0007_Landers.AT2,0.05286798538601387
RSN0008,8,San Fernando,1971,Station_San _008,6.547534013689115,54.21886677092073,240.86720646150405,Reverse,0.005,6476,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0008_San_Fernando.AT2,0.03833869987727202
RSN0009,9,Hector Mine,1999,Station_Hect_009,7.239207141078488,8.61410787621092,175.7324980868,Strike-Slip,0.005,7583,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0009_Hector_Mine.AT2,0.1537488910235614
RSN0010,10,Duzce (Turkey),1999,Station_Duzc_010,6.8851949741171365,18.98940564110951,899.3432588032226,Strike-Slip,0.005,7016,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0010_Duzce_(Turkey).AT2,0.08798148386720735
