record_id,base_record_id,earthquake_name,year,station_name,magnitude,r_rup_km,vs30_ms,mechanism,scale_factor,target_pga_g,resulting_pga_g,resulting_pga_ms2,pgv_ms,pgd_m,arias_intensity_ms,d5_95_s,dt,n_steps,duration_s,file_path
RSN0001_PGA_0p050g,RSN0001,Imperial Valley-06,1979,Station_Impe_001,6.669848365268068,2.65303503121774,227.75891064146458,Strike-Slip,0.3310179018338407,0.05,0.05,0.4903325,0.08343265708554244,0.48315293189733416,0.025011114162281224,5.21,0.01,3337,33.36,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0001_PGA_0p050g.npy
RSN0001_PGA_0p100g,RSN0001,Imperial Valley-06,1979,Station_Impe_001,6.669848365268068,2.65303503121774,227.75891064146458,Strike-Slip,0.6620358036676814,0.1,0.1,0.980665,0.16686531417108488,0.9663058637946683,0.1000444566491249,5.21,0.01,3337,33.36,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0001_PGA_0p100g.npy
RSN0001_PGA_0p200g,RSN0001,Imperial Valley-06,1979,Station_Impe_001,6.669848365268068,2.65303503121774,227.75891064146458,Strike-Slip,1.3240716073353629,0.2,0.2,1.96133,0.33373062834216977,1.9326117275893366,0.4001778265964996,5.21,0.01,3337,33.36,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0001_PGA_0p200g.npy
RSN0001_PGA_0p300g,RSN0001,Imperial Valley-06,1979,Station_Impe_001,6.669848365268068,2.65303503121774,227.75891064146458,Strike-Slip,1.986107411003044,0.3,0.3,2.941995,0.5005959425132543,2.8989175913839986,0.900400109842119,5.21,0.01,3337,33.36,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0001_PGA_0p300g.npy
RSN0001_PGA_0p400g,RSN0001,Imperial Valley-06,1979,Station_Impe_001,6.669848365268068,2.65303503121774,227.75891064146458,Strike-Slip,2.6481432146707258,0.4,0.4,3.92266,0.6674612566843395,3.8652234551786733,1.6007113063859983,5.21,0.01,3337,33.36,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0001_PGA_0p400g.npy
RSN0001_PGA_0p500g,RSN0001,Imperial Valley-06,1979,Station_Impe_001,6.669848365268068,2.65303503121774,227.75891064146458,Strike-Slip,3.310179018338407,0.5,0.5,4.903325,0.8343265708554245,4.831529318973352,2.501111416228114,5.21,0.01,3337,33.36,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0001_PGA_0p500g.npy
RSN0001_PGA_0p600g,RSN0001,Imperial Valley-06,1979,Station_Impe_001,6.669848365268068,2.65303503121774,227.75891064146458,Strike-Slip,3.972214822006088,0.6,0.6,5.88399,1.0011918850265087,5.797835182767997,3.601600439368476,5.21,0.01,3337,33.36,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0001_PGA_0p600g.npy
RSN0001_PGA_0p800g,RSN0001,Imperial Valley-06,1979,Station_Impe_001,6.669848365268068,2.65303503121774,227.75891064146458,Strike-Slip,5.2962864293414516,0.8,0.8,7.84532,1.334922513368679,7.7304469103573465,6.402845225543993,5.21,0.01,3337,33.36,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0001_PGA_0p800g.npy
RSN0001_PGA_1p000g,RSN0001,Imperial Valley-06,1979,Station_Impe_001,6.669848365268068,2.65303503121774,227.75891064146458,Strike-Slip,6.620358036676814,1.0,1.0,9.80665,1.668653141710849,9.663058637946705,10.004445664912456,5.21,0.01,3337,33.36,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0001_PGA_1p000g.npy
RSN0001_PGA_1p200g,RSN0001,Imperial Valley-06,1979,Station_Impe_001,6.669848365268068,2.65303503121774,227.75891064146458,Strike-Slip,7.944429644012176,1.2,1.2,11.76798,2.0023837700530174,11.595670365535995,14.406401757473905,5.21,0.01,3337,33.36,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0001_PGA_1p200g.npy
RSN0002_PGA_0p050g,RSN0002,Loma Prieta,1989,Station_Loma_002,6.946050496874451,9.659703177975373,653.0870428460343,Reverse-Oblique,0.40908447715398694,0.05,0.05,0.4903325,0.058412505105288254,0.1518191842705565,0.025616281697736918,10.03,0.01,3557,35.56,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0002_PGA_0p050g.npy
RSN0002_PGA_0p100g,RSN0002,Loma Prieta,1989,Station_Loma_002,6.946050496874451,9.659703177975373,653.0870428460343,Reverse-Oblique,0.8181689543079739,0.1,0.1,0.980665,0.11682501021057651,0.303638368541113,0.10246512679094767,10.03,0.01,3557,35.56,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0002_PGA_0p100g.npy
RSN0002_PGA_0p200g,RSN0002,Loma Prieta,1989,Station_Loma_002,6.946050496874451,9.659703177975373,653.0870428460343,Reverse-Oblique,1.6363379086159477,0.2,0.2,1.96133,0.23365002042115302,0.607276737082226,0.4098605071637907,10.03,0.01,3557,35.56,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0002_PGA_0p200g.npy
RSN0002_PGA_0p300g,RSN0002,Loma Prieta,1989,Station_Loma_002,6.946050496874451,9.659703177975373,653.0870428460343,Reverse-Oblique,2.4545068629239215,0.3,0.3,2.941995,0.3504750306317297,0.9109151056233382,0.9221861411185263,10.03,0.01,3557,35.56,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0002_PGA_0p300g.npy
RSN0002_PGA_0p400g,RSN0002,Loma Prieta,1989,Station_Loma_002,6.946050496874451,9.659703177975373,653.0870428460343,Reverse-Oblique,3.2726758172318955,0.4,0.4,3.92266,0.46730004084230603,1.214553474164452,1.6394420286551628,10.03,0.01,3557,35.56,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0002_PGA_0p400g.npy
RSN0002_PGA_0p500g,RSN0002,Loma Prieta,1989,Station_Loma_002,6.946050496874451,9.659703177975373,653.0870428460343,Reverse-Oblique,4.090844771539869,0.5,0.5,4.903325,0.5841250510528827,1.518191842705583,2.56162816977368,10.03,0.01,3557,35.56,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0002_PGA_0p500g.npy
RSN0002_PGA_0p600g,RSN0002,Loma Prieta,1989,Station_Loma_002,6.946050496874451,9.659703177975373,653.0870428460343,Reverse-Oblique,4.909013725847843,0.6,0.6,5.88399,0.7009500612634594,1.8218302112466764,3.688744564474105,10.03,0.01,3557,35.56,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0002_PGA_0p600g.npy
RSN0002_PGA_0p800g,RSN0002,Loma Prieta,1989,Station_Loma_002,6.946050496874451,9.659703177975373,653.0870428460343,Reverse-Oblique,6.545351634463791,0.8,0.8,7.84532,0.9346000816846121,2.429106948328904,6.557768114620651,10.03,0.01,3557,35.56,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0002_PGA_0p800g.npy
RSN0002_PGA_1p000g,RSN0002,Loma Prieta,1989,Station_Loma_002,6.946050496874451,9.659703177975373,653.0870428460343,Reverse-Oblique,8.181689543079738,1.0,1.0,9.80665,1.1682501021057654,3.036383685411166,10.24651267909472,10.03,0.01,3557,35.56,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0002_PGA_1p000g.npy
RSN0002_PGA_1p200g,RSN0002,Loma Prieta,1989,Station_Loma_002,6.946050496874451,9.659703177975373,653.0870428460343,Reverse-Oblique,9.818027451695686,1.2,1.2,11.76798,1.4019001225269188,3.643660422493353,14.75497825789642,10.03,0.01,3557,35.56,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0002_PGA_1p200g.npy
RSN0003_PGA_0p050g,RSN0003,Northridge-01,1994,Station_Nort_003,6.536740154106308,6.604255393590816,405.7955520232489,Reverse,0.4470579672676484,0.05,0.05,0.4903325,0.06297783868517834,0.11501051680489247,0.02296574735514262,6.2299999999999995,0.01,3230,32.29,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0003_PGA_0p050g.npy
RSN0003_PGA_0p100g,RSN0003,Northridge-01,1994,Station_Nort_003,6.536740154106308,6.604255393590816,405.7955520232489,Reverse,0.8941159345352968,0.1,0.1,0.980665,0.12595567737035668,0.23002103360978493,0.09186298942057047,6.2299999999999995,0.01,3230,32.29,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0003_PGA_0p100g.npy
RSN0003_PGA_0p200g,RSN0003,Northridge-01,1994,Station_Nort_003,6.536740154106308,6.604255393590816,405.7955520232489,Reverse,1.7882318690705936,0.2,0.2,1.96133,0.25191135474071336,0.46004206721956986,0.3674519576822819,6.2299999999999995,0.01,3230,32.29,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0003_PGA_0p200g.npy
RSN0003_PGA_0p300g,RSN0003,Northridge-01,1994,Station_Nort_003,6.536740154106308,6.604255393590816,405.7955520232489,Reverse,2.68234780360589,0.3,0.3,2.941995,0.3778670321110699,0.6900631008293524,0.8267669047851319,6.2299999999999995,0.01,3230,32.29,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0003_PGA_0p300g.npy
RSN0003_PGA_0p400g,RSN0003,Northridge-01,1994,Station_Nort_003,6.536740154106308,6.604255393590816,405.7955520232489,Reverse,3.5764637381411872,0.4,0.4,3.92266,0.5038227094814267,0.9200841344391397,1.4698078307291276,6.2299999999999995,0.01,3230,32.29,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0003_PGA_0p400g.npy
RSN0003_PGA_0p500g,RSN0003,Northridge-01,1994,Station_Nort_003,6.536740154106308,6.604255393590816,405.7955520232489,Reverse,4.470579672676483,0.5,0.49999999999999994,4.903324999999999,0.6297783868517834,1.1501051680489356,2.296574735514261,6.2299999999999995,0.01,3230,32.29,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0003_PGA_0p500g.npy
RSN0003_PGA_0p600g,RSN0003,Northridge-01,1994,Station_Nort_003,6.536740154106308,6.604255393590816,405.7955520232489,Reverse,5.36469560721178,0.6,0.6,5.88399,0.7557340642221398,1.3801262016587048,3.3070676191405277,6.2299999999999995,0.01,3230,32.29,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0003_PGA_0p600g.npy
RSN0003_PGA_0p800g,RSN0003,Northridge-01,1994,Station_Nort_003,6.536740154106308,6.604255393590816,405.7955520232489,Reverse,7.1529274762823745,0.8,0.8,7.84532,1.0076454189628534,1.8401682688782794,5.87923132291651,6.2299999999999995,0.01,3230,32.29,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0003_PGA_0p800g.npy
RSN0003_PGA_1p000g,RSN0003,Northridge-01,1994,Station_Nort_003,6.536740154106308,6.604255393590816,405.7955520232489,Reverse,8.941159345352967,1.0,0.9999999999999999,9.806649999999998,1.259556773703567,2.300210336097871,9.186298942057045,6.2299999999999995,0.01,3230,32.29,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0003_PGA_1p000g.npy
RSN0003_PGA_1p200g,RSN0003,Northridge-01,1994,Station_Nort_003,6.536740154106308,6.604255393590816,405.7955520232489,Reverse,10.72939121442356,1.2,1.2,11.76798,1.5114681284442797,2.7602524033174096,13.22827047656211,6.2299999999999995,0.01,3230,32.29,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0003_PGA_1p200g.npy
RSN0004_PGA_0p050g,RSN0004,Kobe (Hyogo-ken Nanbu),1995,Station_Kobe_004,6.902046029284208,4.09107584424761,207.6182800104394,Strike-Slip,0.3160701693797497,0.05,0.05,0.4903325,0.08556009774130154,0.24854360762909758,0.02944487907756586,6.3999999999999995,0.01,3522,35.21,/Users/rahul/seismoFNO/data/simulations/scaled_motions/RSN0004_PGA_0p050g.npy
