sim_id,record_id,base_record_id,earthquake_name,magnitude,r_rup_km,vs30_ms,target_pga_g,resulting_pga_g,struct_id,T,zeta,material_type,u_y,alpha,u_max_m,f_max_n,e_h_final_j,ductility,dt,n_steps,sim_file_path
RSN0001_PGA_0p050g__SDOF_T0p20s_Z0p05_ELAS,RSN0001_PGA_0p050g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.05,0.05,SDOF_T0p20s_Z0p05_ELAS,0.2,0.05,elastic,,0.0,0.0011569252015934841,1.1418394061378243,1.5245460711999054e-12,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p050g__SDOF_T0p20s_Z0p05_ELAS.npz
RSN0001_PGA_0p050g__SDOF_T0p50s_Z0p05_ELAS,RSN0001_PGA_0p050g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.05,0.05,SDOF_T0p50s_Z0p05_ELAS,0.5,0.05,elastic,,0.0,0.004981203990911396,0.7866002053027679,4.926589527287434e-10,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p050g__SDOF_T0p50s_Z0p05_ELAS.npz
RSN0001_PGA_0p050g__SDOF_T1p00s_Z0p05_ELAS,RSN0001_PGA_0p050g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.05,0.05,SDOF_T1p00s_Z0p05_ELAS,1.0,0.05,elastic,,0.0,0.019204746927102823,0.7581730191741654,2.4829737397861324e-07,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p050g__SDOF_T1p00s_Z0p05_ELAS.npz
RSN0001_PGA_0p050g__SDOF_T1p50s_Z0p05_ELAS,RSN0001_PGA_0p050g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.05,0.05,SDOF_T1p50s_Z0p05_ELAS,1.5,0.05,elastic,,0.0,0.03424067158809262,0.6007855697815008,1.6259034879469713e-07,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p050g__SDOF_T1p50s_Z0p05_ELAS.npz
RSN0001_PGA_0p050g__SDOF_T2p00s_Z0p05_ELAS,RSN0001_PGA_0p050g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.05,0.05,SDOF_T2p00s_Z0p05_ELAS,2.0,0.05,elastic,,0.0,0.01695979608049341,0.1673864780376158,6.713140955129808e-07,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p050g__SDOF_T2p00s_Z0p05_ELAS.npz
RSN0001_PGA_0p050g__SDOF_T0p20s_Z0p05_BILIN_uy0p005_a0p02,RSN0001_PGA_0p050g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.05,0.05,SDOF_T0p20s_Z0p05_BILIN_uy0p005_a0p02,0.2,0.05,bilinear,0.005,0.02,0.0011569252015934852,1.1418394061378254,1.5245466754340708e-12,0.23138504031869706,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p050g__SDOF_T0p20s_Z0p05_BILIN_uy0p005_a0p02.npz
RSN0001_PGA_0p050g__SDOF_T0p50s_Z0p05_BILIN_uy0p010_a0p02,RSN0001_PGA_0p050g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.05,0.05,SDOF_T0p50s_Z0p05_BILIN_uy0p010_a0p02,0.5,0.05,bilinear,0.01,0.02,0.004981203990911401,0.7866002053027682,4.926589547602275e-10,0.4981203990911401,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p050g__SDOF_T0p50s_Z0p05_BILIN_uy0p010_a0p02.npz
RSN0001_PGA_0p050g__SDOF_T0p50s_Z0p05_BILIN_uy0p020_a0p05,RSN0001_PGA_0p050g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.05,0.05,SDOF_T0p50s_Z0p05_BILIN_uy0p020_a0p05,0.5,0.05,bilinear,0.02,0.05,0.004981203990911401,0.7866002053027682,4.926589547602275e-10,0.24906019954557004,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p050g__SDOF_T0p50s_Z0p05_BILIN_uy0p020_a0p05.npz
RSN0001_PGA_0p050g__SDOF_T1p00s_Z0p05_BILIN_uy0p020_a0p02,RSN0001_PGA_0p050g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.05,0.05,SDOF_T1p00s_Z0p05_BILIN_uy0p020_a0p02,1.0,0.05,bilinear,0.02,0.02,0.019204746927102744,0.7581730191741622,2.4829737397886083e-07,0.9602373463551371,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p050g__SDOF_T1p00s_Z0p05_BILIN_uy0p020_a0p02.npz
RSN0001_PGA_0p050g__SDOF_T1p00s_Z0p05_BILIN_uy0p040_a0p05,RSN0001_PGA_0p050g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.05,0.05,SDOF_T1p00s_Z0p05_BILIN_uy0p040_a0p05,1.0,0.05,bilinear,0.04,0.05,0.019204746927102744,0.7581730191741622,2.4829737397886083e-07,0.48011867317756857,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p050g__SDOF_T1p00s_Z0p05_BILIN_uy0p040_a0p05.npz
