Regime,Model,N,Rel_L2_u_Mean,Rel_L2_u_Median,Rel_L2_u_Std,Rel_L2_u_95CI_Low,Rel_L2_u_95CI_High,Peak_u_Err_Mean,Force_Rel_L2_Mean,Phase_Err_Rad_Mean,Energy_Rel_L2_Mean,Residual_Drift_mm_Mean,Latency_ms,Parameters
mu_le_1,Standard FNO,242,10.774277600146817,8.734156388214473,6.6827555295870456,9.99304140628024,11.687034563382658,3.6363344506826363,6.750374496246988,9.875566529679643,9.744952365436802,0.4479861279472339,6.742198241559217,1196931
mu_le_1,Causal TCN,242,384.426832559703,236.5558381696159,421.0849973983102,335.70602880527133,437.6280733711037,2642.1436437666493,71.95101016071811,58.559349863736095,166.78488608497815,3.5136352247012055,34.7014439292224,1188763
mu_le_1,LSTM Baseline,242,58.90263051947559,55.749538259605224,19.803159769735313,56.56761526165853,61.43966158701798,16.212507852756232,44.74282655132014,35.330184070531985,55.27229776388958,1.203866592754633,82.27628999675274,414851
mu_le_1,MLP Baseline,242,137.5525275212475,103.94147184383932,80.99236308647035,127.70730542983446,148.1889776561726,83.03396202078726,100.000071024988,118.89489690922508,29.73979834389925,2.092075153169307,8.605558672077931,564995
mu_1_to_2,Standard FNO,216,45.24060449687713,42.43695947965739,23.364935549384057,41.86305971253424,48.225023065399014,8.841187647224903,12.790210002715465,19.987379110797686,10.520736724340054,6.37464984147637,6.742198241559217,1196931
mu_1_to_2,Causal TCN,216,149.82711701305172,121.67761079203686,96.7538705263201,137.03333613896257,163.48280756181776,551.3178690936883,50.03954231649765,25.83592168835026,123.00185038493886,10.042816512631598,34.7014439292224,1188763
mu_1_to_2,LSTM Baseline,216,65.5482973445264,65.80840330917397,18.84602992893374,63.244791621432704,67.99032405690619,19.634685000257633,38.67962597336548,20.61186032011001,53.69078645584441,7.175117004576519,82.27628999675274,414851
mu_1_to_2,MLP Baseline,216,101.08730691405444,100.04237865852167,6.187224767432075,100.31459367709448,101.89748437316544,95.0724602942673,99.99988679717171,66.71642725555985,66.94225411774245,8.670516743290204,8.605558672077931,564995
mu_2_to_4,Standard FNO,252,60.99469304392757,58.714281382576274,21.30855735603582,58.28157322142988,63.448408453684294,17.13876409990607,22.149397247751832,25.17606158814733,8.700558169683847,18.31892366513669,6.742198241559217,1196931
mu_2_to_4,Causal TCN,252,112.64718586718028,100.11051278978388,49.908570574264424,106.86855582462287,119.38092211904768,219.4766148484027,44.020867118713134,48.47303251756562,54.35740470417652,24.2976668745368,34.7014439292224,1188763
mu_2_to_4,LSTM Baseline,252,75.24583384840554,76.56790709582464,21.212505309850588,72.51058131336639,77.6074436491968,17.521614604801467,31.42063529789685,29.21743852586027,37.349922799418195,18.83274026303774,82.27628999675274,414851
mu_2_to_4,MLP Baseline,252,99.34303432664554,99.61401646725986,6.473315939124191,98.48837969871845,100.08764780854365,95.46767709132618,99.99997581458506,35.67340874861157,55.94931943556798,21.851157278029454,8.605558672077931,564995
mu_gt_4,Standard FNO,830,57.68305888288352,55.858223030491985,17.175023265245958,56.52299190392364,58.90979340898582,20.929685566907793,34.56825588071878,16.526313416264863,8.87783400671334,69.38856736397797,6.742198241559217,1196931
mu_gt_4,Causal TCN,830,92.433072047769,90.18201087160114,17.914341857128647,91.19373448425424,93.77582205642669,61.41411535950766,52.20908211510389,48.3860815211951,24.29934576405058,80.73778812077839,34.7014439292224,1188763
mu_gt_4,LSTM Baseline,830,68.61058172556619,66.33048211356262,23.649627982665425,67.15152716654745,70.20773830040494,24.15628320331684,27.442253665051826,13.897402336349689,23.848548407267007,71.54207987407874,82.27628999675274,414851
mu_gt_4,MLP Baseline,830,100.1120246291836,100.01021693744518,3.7863840914796403,99.84778277637162,100.37340613010956,98.22441422892861,100.00113761299414,15.012767671533378,40.009191932062656,81.28354051094277,8.605558672077931,564995
all,Standard FNO,1540,49.10840731845718,50.38386362912745,24.751535256250285,47.84801975895199,50.33845479746452,15.89629678089323,25.11011459487556,17.3820575609271,9.215519798198414,41.359880963920965,6.742198241559217,1196931
all,Causal TCN,1540,149.6756437613279,94.95165428306981,201.01545969413053,139.8162839144965,160.61880340102937,561.5358728610095,53.66719627838261,46.836086758913154,65.4525097956662,49.45124953489315,34.7014439292224,1188763
all,LSTM Baseline,1540,67.74129985334346,65.29646031399913,22.5630513404131,66.68881840304172,68.8386666847713,21.18810441531533,32.3880739433308,20.714094040194503,35.181546530395245,42.83567391571819,82.27628999675274,414851
all,MLP Baseline,1540,106.00649028968486,100.2242403792464,35.16447238527464,104.34940983594966,107.74679754803387,94.94414848676439,100.00060445473815,41.96987630601053,44.78143888963059,48.92918445569064,8.605558672077931,564995
