Regime,Model,N,Rel_L2_u_Mean,Rel_L2_u_Median,Rel_L2_u_95CI_Low,Rel_L2_u_95CI_High,Residual_Drift_mm_Mean,Residual_Drift_mm_Median,Residual_Drift_mm_95CI_Low,Residual_Drift_mm_95CI_High,Peak_u_Err_Mean,Force_Rel_L2_Mean,Energy_Rel_L2_Mean,Rel_L2_up_Mean,Rel_L2_ab_Mean
mu_le_1,EXP 2 Baseline (State-TCN),232,352.92224,150.84525,320.7951965332031,397.65118408203125,1.7784266,1.275122,1.4152003526687622,1.9729496240615845,2354.8152,30.109098,1586.3203,4.008636,0.061635353
mu_le_1,EXP 3 PG-TCN (Physics-Supervised),232,442.64084,234.7284,411.1162109375,494.4065246582031,3.5633767,1.9567415,3.223562240600586,4.037417411804199,169.59032,105.67129,15727.168,5.3498036e+07,1.526121e+06
mu_le_1,EXP 3 PG-TCN (Unsupervised Ablation),232,253.1474,138.40091,236.85557556152344,277.9450378417969,3.6695411,2.9474525,3.3313724994659424,3.9379351139068604,73.85254,100.54598,10746.237,2.3179366e+09,3.692361e+07
mu_le_1,EXP 3 64D Unconstrained State,232,132.2103,103.82037,128.505615234375,138.2982635498047,1.5737017,0.23188674,1.2699668407440186,1.9637507200241089,77.68467,100.76545,21867.514,3.105737e+09,4.163263e+07
mu_1_to_2,EXP 2 Baseline (State-TCN),204,114.61393,81.365944,109.00335693359375,117.71984100341797,7.092185,4.842842,6.850427150726318,7.358447074890137,489.0263,24.102474,258.39407,95.46615,95.00837
mu_1_to_2,EXP 3 PG-TCN (Physics-Supervised),204,147.13033,115.4787,143.5775604248047,151.09425354003906,8.9582815,6.3910465,8.088500022888184,9.723029136657715,57.8641,101.86497,1954.1879,2.1469798e+06,156020.3
mu_1_to_2,EXP 3 PG-TCN (Unsupervised Ablation),204,106.30277,101.9801,105.68128967285156,106.9421157836914,7.856718,4.6175456,5.636756896972656,8.913439750671387,84.389336,100.15562,1035.4912,1.0108152e+08,1.4645926e+06
mu_1_to_2,EXP 3 64D Unconstrained State,204,102.24822,100.5453,101.70954132080078,103.39987182617188,7.806715,4.638957,6.187133312225342,8.567031860351562,93.20908,100.28537,2102.5674,1.4741325e+08,2.0791724e+06
mu_2_to_4,EXP 2 Baseline (State-TCN),245,94.788506,84.92639,91.76570892333984,97.62965393066406,17.705729,11.97635,13.872306823730469,19.60822105407715,215.3889,25.36761,67.16719,99.99965,99.984474
mu_2_to_4,EXP 3 PG-TCN (Physics-Supervised),245,116.24106,103.37702,115.47496795654297,117.0589599609375,19.604631,13.231196,15.996500015258789,22.303600311279297,66.146065,100.44692,260.15186,437.16168,899.5101
mu_2_to_4,EXP 3 PG-TCN (Unsupervised Ablation),245,100.423164,100.23223,99.28343963623047,101.33472442626953,19.468714,12.926581,16.5782470703125,22.166662216186523,77.02363,99.78565,156.08487,13739.172,4859.985
mu_2_to_4,EXP 3 64D Unconstrained State,245,99.769325,99.78123,99.36846160888672,100.10735321044922,19.35276,11.786839,16.07562255859375,22.502164840698242,85.83667,100.224594,219.28278,11276.169,6320.411
mu_gt_4,EXP 2 Baseline (State-TCN),859,102.54287,71.74255,95.85383605957031,113.78872680664062,97.30406,42.91719,91.59957122802734,106.71238708496094,71.8932,38.210545,35.255985,99.99995,99.99574
mu_gt_4,EXP 3 PG-TCN (Physics-Supervised),859,121.37116,104.17305,118.343505859375,126.44187927246094,101.38849,60.507298,83.77012634277344,123.53726959228516,69.00889,119.67543,82.35856,796.5319,1265.8241
mu_gt_4,EXP 3 PG-TCN (Unsupervised Ablation),859,115.9996,100.043465,113.67677307128906,120.0307388305664,131.6488,66.94338,117.33150482177734,152.0782928466797,68.23121,96.189476,58.813713,2347.6594,1845.2258
mu_gt_4,EXP 3 64D Unconstrained State,859,100.65731,99.59698,99.20460510253906,102.7073745727539,86.91784,52.109177,74.67279815673828,102.20755767822266,69.39625,98.20447,58.10289,1673.299,1682.0414
all,EXP 2 Baseline (State-TCN),1540,140.62773,78.31258,134.16302490234375,144.68775939941406,58.299664,16.17564,54.343929290771484,62.462703704833984,493.89935,33.078014,303.55814,84.93829,84.278275
all,EXP 3 PG-TCN (Physics-Supervised),1540,172.36632,108.96926,166.44192504882812,178.43408203125,61.39613,21.483322,50.87480926513672,75.54558563232422,82.22964,112.14733,2715.481,8.344364e+06,251425.9
all,EXP 3 PG-TCN (Unsupervised Ablation),1540,132.89824,101.22548,130.31787109375,135.47740173339844,78.12355,20.479572,69.72935485839844,91.6041259765625,72.61728,97.94328,1813.7201,3.6258915e+08,5.758331e+06
all,EXP 3 64D Unconstrained State,1540,105.48022,100.29907,104.1139144897461,106.462646484375,52.832153,19.296314,45.50214767456055,62.74751663208008,76.41484,99.18732,3640.1436,4.874074e+08,6.549295e+06
