sim_id,struct_id,n_stories,model,partition,rel_l2_u_pct,peak_disp_err_pct,idr_err_pct,story_shear_err_pct,pearson_r,delta_t_peak_s
1800,3S_T035,3,baseline,ood_a,94.33088302612305,27.66609918399269,99.71867203712463,41.99778139591217,0.9561051316846828,0.0
1801,3S_T035,3,baseline,ood_a,97.49593734741211,34.36648180992745,103.66066694259644,41.12001657485962,0.9584805208881725,0.0
1802,3S_T035,3,baseline,ood_a,97.53949642181396,35.636132653925976,102.57852077484131,42.052292823791504,0.9584214675911349,0.0
1803,3S_T060,3,baseline,ood_a,40.87100327014923,7.560649630178809,51.110219955444336,40.42506515979767,0.9703291756540972,3.05
1804,3S_T060,3,baseline,ood_a,38.52280378341675,8.231752236587356,54.064762592315674,39.6125465631485,0.9759927628829875,3.04
1805,3S_T060,3,baseline,ood_a,41.375988721847534,15.66255506216893,57.32465386390686,41.212087869644165,0.9652498691197092,3.0300000000000002
1806,3S_T090,3,baseline,ood_a,21.53809368610382,7.405872583236562,33.33454430103302,19.85366940498352,0.989658727484681,0.010000000000000675
1807,3S_T090,3,baseline,ood_a,17.48940795660019,1.5356271435044595,31.49200677871704,24.40618872642517,0.9910825458609284,0.010000000000000675
1808,3S_T090,3,baseline,ood_a,17.20302850008011,5.316947999781779,27.804899215698242,22.723938524723053,0.9920920343555004,0.010000000000000675
1809,5S_T055,5,baseline,ood_a,35.16698479652405,1.2383787577271483,50.91555118560791,36.04903221130371,0.9861597787207491,0.009999999999999787
1810,5S_T055,5,baseline,ood_a,39.291998744010925,15.508515018856167,60.637444257736206,32.47940540313721,0.9849107814194737,3.2700000000000005
1811,5S_T055,5,baseline,ood_a,38.440799713134766,14.655775643844066,58.58675241470337,34.51480567455292,0.9817512484165077,3.2700000000000005
1812,5S_T085,5,baseline,ood_a,27.126991748809814,11.14204912381497,71.82179689407349,17.82320737838745,0.9881104040843662,0.009999999999999787
1813,5S_T085,5,baseline,ood_a,21.98501229286194,0.46783259109104186,55.6656539440155,19.732356071472168,0.9913518673209102,0.009999999999999787
1814,5S_T085,5,baseline,ood_a,21.71926200389862,4.223691262665786,50.2005398273468,19.652654230594635,0.9891874782670602,0.009999999999999787
1818,3S_T035,3,baseline,ood_a,56.09660744667053,18.93540843768135,63.67747783660889,37.660422921180725,0.967816871098534,0.0
1819,3S_T035,3,baseline,ood_a,60.06460189819336,26.189048415957156,68.0850625038147,36.76072359085083,0.9688906326119803,0.0
1820,3S_T035,3,baseline,ood_a,60.05209684371948,27.847267518285264,66.50577783584595,37.86261975765228,0.9693441486628727,0.0
1821,3S_T060,3,baseline,ood_a,26.781007647514343,10.475225378778829,34.407708048820496,35.46831011772156,0.9810309268456329,3.05
1822,3S_T060,3,baseline,ood_a,24.398064613342285,3.389750254607042,35.932451486587524,34.65438485145569,0.9832344691925573,3.04
1823,3S_T060,3,baseline,ood_a,27.34149396419525,11.30497865595893,38.06784749031067,36.05085611343384,0.9773833445540762,3.0300000000000002
1824,3S_T090,3,baseline,ood_a,18.326911330223083,9.781964659265206,26.55634582042694,16.247542202472687,0.9914204944191848,0.010000000000000675
1825,3S_T090,3,baseline,ood_a,14.376260340213776,1.5558940604211782,24.721139669418335,20.249351859092712,0.9930978457881456,0.010000000000000675
1826,3S_T090,3,baseline,ood_a,14.53368216753006,7.114303974490445,21.37121558189392,19.034428894519806,0.9933207462622331,0.010000000000000675
1827,5S_T055,5,baseline,ood_a,22.02979475259781,1.244364429802662,36.76014840602875,31.935402750968933,0.9908394389567261,0.009999999999999787
1828,5S_T055,5,baseline,ood_a,28.564628958702087,10.714985048509076,47.45101034641266,28.451046347618103,0.9894515423795186,3.2700000000000005
1829,5S_T055,5,baseline,ood_a,27.152734994888306,10.581397389988371,44.06790733337402,30.134758353233337,0.9888836834531906,3.2700000000000005
1830,5S_T085,5,baseline,ood_a,22.49734103679657,13.696894442616733,63.13127875328064,14.946010708808899,0.9911105696344926,0.019999999999999574
1831,5S_T085,5,baseline,ood_a,18.398649990558624,4.346978504303987,49.10280108451843,17.148704826831818,0.9931254714923821,0.009999999999999787
1832,5S_T085,5,baseline,ood_a,17.477282881736755,6.842358394234862,43.59278976917267,17.084814608097076,0.9922282746409447,0.009999999999999787
1836,3S_T035,3,baseline,ood_a,42.0927494764328,15.940468869278265,51.31739377975464,33.61875116825104,0.9708757861298931,0.0
1837,3S_T035,3,baseline,ood_a,47.501301765441895,23.571736769178514,56.93014860153198,32.36091732978821,0.9718841042109436,0.0
1838,3S_T035,3,baseline,ood_a,47.388243675231934,25.39716760959363,55.194419622421265,33.74084234237671,0.9717555023352821,0.0
1839,3S_T060,3,baseline,ood_a,22.047336399555206,13.721266259458675,28.132036328315735,30.95235526561737,0.9835588887904689,3.05
1840,3S_T060,3,baseline,ood_a,19.307899475097656,2.677001259192079,28.49278450012207,30.084022879600525,0.9853512321940769,3.04
1841,3S_T060,3,baseline,ood_a,22.74879664182663,4.773419738077277,31.09321892261505,31.837907433509827,0.9806257594995882,3.04
1842,3S_T090,3,baseline,ood_a,15.263700485229492,2.130562224402076,25.601673126220703,15.430451929569244,0.9910432456765285,0.0
1843,3S_T090,3,baseline,ood_a,13.972941040992737,4.2940185039454555,23.95060658454895,18.77022236585617,0.9926918965380874,0.0
1844,3S_T090,3,baseline,ood_a,13.361144065856934,0.38410696881450157,22.260156273841858,17.711786925792694,0.9928103813315907,0.0
1845,5S_T055,5,baseline,ood_a,16.601207852363586,4.9770802892872545,30.347096920013428,29.117649793624878,0.9923959911697705,0.009999999999999787
1846,5S_T055,5,baseline,ood_a,21.798738837242126,4.630596165617278,39.156702160835266,26.10773742198944,0.9915476573815348,0.019999999999999574
1847,5S_T055,5,baseline,ood_a,21.026772260665894,4.850137928673356,37.00874447822571,27.430811524391174,0.9912366418602526,0.019999999999999574
1848,5S_T085,5,baseline,ood_a,19.141194224357605,8.549761094313173,56.1974823474884,14.899158477783203,0.9915201322815044,0.019999999999999574
1849,5S_T085,5,baseline,ood_a,17.08177626132965,2.0636468266953734,46.338897943496704,17.180682718753815,0.9935982714408147,0.009999999999999787
1850,5S_T085,5,baseline,ood_a,16.118797659873962,3.549350481829788,42.323002219200134,17.080006003379822,0.9933478724430502,0.009999999999999787
1854,3S_T035,3,baseline,ood_a,37.297043204307556,13.04882891505229,46.81213200092316,32.39135146141052,0.9708037977052016,0.0
1855,3S_T035,3,baseline,ood_a,42.87714660167694,20.278702079224832,52.59941816329956,31.067746877670288,0.9714671009264717,0.0
1856,3S_T035,3,baseline,ood_a,42.67939031124115,22.228913663613262,51.041001081466675,32.552534341812134,0.9711236185485355,0.0
1857,3S_T060,3,baseline,ood_a,22.536692023277283,17.91432958700986,27.63746678829193,29.017433524131775,0.9828615630593084,3.05
1858,3S_T060,3,baseline,ood_a,19.189128279685974,8.61770904492554,26.874294877052307,28.476807475090027,0.9846342931756465,3.05
1859,3S_T060,3,baseline,ood_a,22.562171518802643,1.8285405553386604,30.070820450782776,30.781260132789612,0.9794183287531022,3.04
1860,3S_T090,3,baseline,ood_a,16.326402127742767,8.15153696427005,29.084566235542297,16.824722290039062,0.9901483919544712,0.0
1861,3S_T090,3,baseline,ood_a,17.046938836574554,13.01908920063919,28.847384452819824,18.2976171374321,0.9917741540145233,0.0
1862,3S_T090,3,baseline,ood_a,15.678167343139648,10.291974501873472,27.71819829940796,17.235934734344482,0.9921340894194469,0.0
1863,5S_T055,5,baseline,ood_a,15.499056875705719,10.825940266439678,28.01722288131714,28.973031044006348,0.9924912003611237,0.009999999999999787
1864,5S_T055,5,baseline,ood_a,17.45445430278778,4.128157891894241,34.206244349479675,26.607638597488403,0.9919343625793722,0.019999999999999574
1865,5S_T055,5,baseline,ood_a,17.427629232406616,3.63749523566958,33.50107669830322,27.686211466789246,0.991421444478037,0.019999999999999574
1866,5S_T085,5,baseline,ood_a,19.70142126083374,1.7407361344821404,53.276628255844116,15.840430557727814,0.9908044289278732,0.019999999999999574
1867,5S_T085,5,baseline,ood_a,19.245482981204987,6.475686555165174,47.412025928497314,17.578062415122986,0.9929339574735767,0.009999999999999787
1868,5S_T085,5,baseline,ood_a,18.391749262809753,5.4315308151255115,44.25496160984039,17.493942379951477,0.9930256965752561,0.009999999999999787
1872,3S_T035,3,baseline,ood_a,33.53618383407593,8.62686382928731,43.02961528301239,32.855626940727234,0.9694584103672951,0.0
1873,3S_T035,3,baseline,ood_a,38.60626816749573,15.264581852449064,48.447197675704956,31.644955277442932,0.9694085083604845,0.009999999999999787
1874,3S_T035,3,baseline,ood_a,38.3946418762207,17.260276599715034,47.13365137577057,33.14754068851471,0.9691700176240742,0.0
1875,3S_T060,3,baseline,ood_a,24.217458069324493,20.964502565673605,28.744035959243774,28.258031606674194,0.9812439031931128,3.0600000000000005
1876,3S_T060,3,baseline,ood_a,20.80315202474594,12.417399547248573,27.724093198776245,28.274884819984436,0.9825621487536114,3.05
1877,3S_T060,3,baseline,ood_a,24.161307513713837,5.823724543961724,31.870630383491516,31.145617365837097,0.9761171068548133,3.04
1878,3S_T090,3,baseline,ood_a,20.055067539215088,18.047226836136648,32.677626609802246,17.55356639623642,0.9893071369690521,0.0
