sim_id,struct_id,n_stories,model,partition,rel_l2_u_pct,peak_disp_err_pct,idr_err_pct,story_shear_err_pct,pearson_r,delta_t_peak_s
1815,5S_T120,5,baseline,ood_c,120.81416845321655,25.887285269854303,122.62706756591797,135.09032726287842,0.0968180858057037,3.33
1816,5S_T120,5,baseline,ood_c,116.552734375,35.431443712736154,119.4079041481018,125.61066150665283,0.09671257016020349,3.33
1817,5S_T120,5,baseline,ood_c,117.27585792541504,32.09757028286329,119.37566995620728,127.4240493774414,0.09842419347670532,3.33
1833,5S_T120,5,baseline,ood_c,118.97249221801758,26.19889980866459,120.33239603042603,134.89187955856323,0.10016895468674022,3.33
1834,5S_T120,5,baseline,ood_c,115.32329320907593,34.82195008867458,117.49666929244995,125.79976320266724,0.09999732058959006,3.33
1835,5S_T120,5,baseline,ood_c,116.01229906082153,32.09784877789582,117.61305332183838,127.5738000869751,0.10044651788042117,3.33
1851,5S_T120,5,baseline,ood_c,117.37592220306396,29.39577298195318,118.91580820083618,136.14461421966553,0.09962556033345418,3.3200000000000003
1852,5S_T120,5,baseline,ood_c,114.24765586853027,36.54599811311205,116.2307620048523,126.45798921585083,0.09928350613264297,3.33
1853,5S_T120,5,baseline,ood_c,114.88147974014282,35.00482977977198,116.48906469345093,128.16805839538574,0.09864802179529748,3.33
1869,5S_T120,5,baseline,ood_c,116.30043983459473,34.228652950067705,118.36272478103638,138.8895869255066,0.09934253845847472,3.3200000000000003
1870,5S_T120,5,baseline,ood_c,113.56401443481445,39.986058639664954,115.88584184646606,128.29198837280273,0.09852486280272216,3.33
1871,5S_T120,5,baseline,ood_c,114.1370415687561,38.754463648548594,116.15414619445801,129.95753288269043,0.09745900265561162,3.33
1887,5S_T120,5,baseline,ood_c,114.98215198516846,39.627219989762054,117.79752969741821,140.24096727371216,0.09934077398719714,3.3200000000000003
1888,5S_T120,5,baseline,ood_c,112.69482374191284,44.30212939493128,115.69058895111084,130.0387978553772,0.0984421213384532,3.3200000000000003
1889,5S_T120,5,baseline,ood_c,113.17135095596313,43.35244696568605,115.8896803855896,131.46337270736694,0.09713386750288609,3.33
1905,5S_T120,5,baseline,ood_c,113.27798366546631,45.013536331973505,116.574227809906,138.6014699935913,0.09846797487341523,3.3200000000000003
1906,5S_T120,5,baseline,ood_c,111.53087615966797,48.700390000731005,115.08500576019287,130.17194271087646,0.09782005598317872,3.3200000000000003
1907,5S_T120,5,baseline,ood_c,111.88732385635376,47.98199165496078,115.17547369003296,131.17918968200684,0.09641105040951242,3.33
1923,5S_T120,5,baseline,ood_c,111.37248277664185,50.06020094847554,114.73063230514526,134.86398458480835,0.09647462032768744,3.3200000000000003
1924,5S_T120,5,baseline,ood_c,110.14406681060791,52.93413307473765,113.88611793518066,128.51731777191162,0.09615878165687225,3.33
1925,5S_T120,5,baseline,ood_c,110.38459539413452,52.445598882039,113.88540267944336,129.11975383758545,0.09483815148039404,3.33
1941,5S_T120,5,baseline,ood_c,107.84493684768677,58.75437027111653,110.67725419998169,126.12569332122803,0.0916500008681854,3.33
1942,5S_T120,5,baseline,ood_c,107.31558799743652,60.46227657139954,108.383047580719,125.80724954605103,0.0945625589216506,3.33
1943,5S_T120,5,baseline,ood_c,107.40665197372437,60.25152142805441,110.55755615234375,122.90583848953247,0.09072019243516004,3.33
