sim_id,struct_id,n_stories,model,partition,rel_l2_u_pct,peak_disp_err_pct,idr_err_pct,story_shear_err_pct,pearson_r,delta_t_peak_s
10000,5S_T105,5,baseline,progressive_5S_T105,130.7337522506714,0.9945186777419901,134.117591381073,138.1647229194641,0.1836781529112037,0.75
10001,5S_T105,5,baseline,progressive_5S_T105,124.77962970733643,11.1224021692818,129.21403646469116,128.29264402389526,0.18091392784911992,0.75
10002,5S_T105,5,baseline,progressive_5S_T105,125.92058181762695,5.938068322248962,129.14968729019165,130.41294813156128,0.18731162056635411,0.75
10006,5S_T105,5,baseline,progressive_5S_T105,128.863525390625,3.288419324306449,131.2853455543518,138.8257384300232,0.18208312196981116,0.75
10007,5S_T105,5,baseline,progressive_5S_T105,123.64990711212158,9.192191778446492,126.92958116531372,129.3290376663208,0.18135725981870154,0.75
10008,5S_T105,5,baseline,progressive_5S_T105,124.55295324325562,5.679745810908165,126.89772844314575,131.24008178710938,0.18558672956741282,0.75
10012,5S_T105,5,baseline,progressive_5S_T105,126.0601282119751,0.4102355081415262,128.94457578659058,140.1295304298401,0.18350979276432358,0.75
10013,5S_T105,5,baseline,progressive_5S_T105,121.73265218734741,9.209893436406317,124.91352558135986,130.14776706695557,0.1835624862071372,0.75
10014,5S_T105,5,baseline,progressive_5S_T105,122.43281602859497,6.8167197696990005,125.0300407409668,131.89263343811035,0.18634272648697414,0.75
10018,5S_T105,5,baseline,progressive_5S_T105,123.75167608261108,7.8901387110335826,127.54868268966675,142.7980661392212,0.1843457117170447,0.75
10019,5S_T105,5,baseline,progressive_5S_T105,120.1299786567688,15.202637342596933,124.07788038253784,132.09965229034424,0.18447511485423962,0.75
10020,5S_T105,5,baseline,progressive_5S_T105,120.68449258804321,13.536085998891487,124.16085004806519,133.71999263763428,0.18663766110532984,0.75
10024,5S_T105,5,baseline,progressive_5S_T105,121.2678074836731,16.439627964978303,126.09424591064453,143.38337182998657,0.18410879215828552,0.7399999999999993
