sim_id,struct_id,n_stories,model,partition,rel_l2_u_pct,peak_disp_err_pct,idr_err_pct,story_shear_err_pct,pearson_r,delta_t_peak_s
1815,5S_T120,5,shuffled,ood_c,112.42774724960327,36.018676293041565,112.8982663154602,135.79833507537842,0.10668458858135167,3.3400000000000007
1816,5S_T120,5,shuffled,ood_c,112.47822046279907,35.29409384804351,112.990403175354,134.72405672073364,0.1089171047157444,3.3400000000000007
1817,5S_T120,5,shuffled,ood_c,112.53182888031006,35.649656402977,113.01724910736084,133.93374681472778,0.10670818568484593,3.3400000000000007
1833,5S_T120,5,shuffled,ood_c,112.05675601959229,35.66161524324165,112.50567436218262,134.9504590034485,0.11271547484864657,3.3400000000000007
1834,5S_T120,5,shuffled,ood_c,112.05307245254517,35.20352112977274,112.51496076583862,133.87750387191772,0.11431918537582622,3.3400000000000007
1835,5S_T120,5,shuffled,ood_c,112.06198930740356,35.45920461919193,112.50734329223633,133.06021690368652,0.11232744007280125,3.3400000000000007
1851,5S_T120,5,shuffled,ood_c,111.45564317703247,37.6504774885463,111.90991401672363,134.07666683197021,0.11883999980268851,3.33
1852,5S_T120,5,shuffled,ood_c,111.44423484802246,37.33669953802448,111.86736822128296,133.0571413040161,0.12021626358372779,3.33
1853,5S_T120,5,shuffled,ood_c,111.41362190246582,37.47768293469057,111.80815696716309,132.2271704673767,0.11833152352441392,3.3400000000000007
1869,5S_T120,5,shuffled,ood_c,111.53658628463745,37.549083006798526,112.0344877243042,134.24386978149414,0.11992392983888908,3.33
1870,5S_T120,5,shuffled,ood_c,111.51760816574097,37.19997941239903,111.93664073944092,133.1792116165161,0.1211517985487066,3.33
1871,5S_T120,5,shuffled,ood_c,111.46101951599121,37.34363304637863,111.83488368988037,132.37911462783813,0.11933033420888214,3.33
1887,5S_T120,5,shuffled,ood_c,111.88812255859375,37.396823899300486,112.3432993888855,134.34596061706543,0.11871691719090205,3.33
1888,5S_T120,5,shuffled,ood_c,111.85353994369507,37.127257567946046,112.20805644989014,133.30368995666504,0.11971885209500413,3.33
1889,5S_T120,5,shuffled,ood_c,111.77350282669067,37.28105426809524,112.08747625350952,132.62231349945068,0.11805312796090499,3.33
1905,5S_T120,5,shuffled,ood_c,112.14560270309448,38.63372818563765,112.50460147857666,133.72416496276855,0.11572075185394823,3.33
1906,5S_T120,5,shuffled,ood_c,112.09244728088379,38.45739163581064,112.35665082931519,132.77546167373657,0.11656810034539011,3.33
1907,5S_T120,5,shuffled,ood_c,111.96879148483276,38.63743521535343,112.20486164093018,132.22085237503052,0.115074706979292,3.33
1923,5S_T120,5,shuffled,ood_c,112.21776008605957,40.83285213000415,112.58596181869507,132.58655071258545,0.1124665955883674,3.3200000000000003
1924,5S_T120,5,shuffled,ood_c,112.12443113327026,40.84883171391163,112.41822242736816,131.74809217453003,0.11310842564120473,3.3200000000000003
1925,5S_T120,5,shuffled,ood_c,111.92762851715088,41.072329103235894,112.18700408935547,131.26771450042725,0.11181738053330516,3.33
1941,5S_T120,5,shuffled,ood_c,111.71284914016724,45.02955394781651,112.61624097824097,129.66586351394653,0.10781419053374666,3.8000000000000007
1942,5S_T120,5,shuffled,ood_c,111.24290227890015,45.48962939186764,109.49013233184814,132.96324014663696,0.10977988635119344,3.8000000000000007
1943,5S_T120,5,shuffled,ood_c,111.18804216384888,46.04150188576958,111.95509433746338,128.6565065383911,0.1069176657978323,3.8000000000000007
1959,5S_T120,5,shuffled,ood_c,109.93640422821045,49.59062909067431,111.439049243927,125.3068208694458,0.10623348329447066,3.8000000000000007
1960,5S_T120,5,shuffled,ood_c,110.10020971298218,43.852136864091435,107.86439180374146,133.22794437408447,0.10250094812114574,3.8000000000000007
1961,5S_T120,5,shuffled,ood_c,109.47816371917725,50.65241059207087,110.8748197555542,124.82839822769165,0.10492513787478903,3.8000000000000007
1977,5S_T120,5,shuffled,ood_c,107.49068260192871,54.72948067910992,109.05276536941528,120.01926898956299,0.10678564018341892,3.8000000000000007
1978,5S_T120,5,shuffled,ood_c,109.12929773330688,42.026450377169866,106.38010501861572,129.79551553726196,0.10016217829914353,3.8100000000000005
1979,5S_T120,5,shuffled,ood_c,107.36496448516846,55.51244075366445,108.7000846862793,120.39566040039062,0.1060522583032703,3.8000000000000007
1995,5S_T120,5,shuffled,ood_c,119.25283670425415,27.052993737219218,119.3702220916748,144.8722243309021,-0.038632291011930275,0.8100000000000005
1996,5S_T120,5,shuffled,ood_c,119.23081874847412,26.66808063458035,119.36749219894409,143.78548860549927,-0.04166717002904982,1.25
1997,5S_T120,5,shuffled,ood_c,119.25938129425049,26.065879860818065,119.35979127883911,143.1290864944458,-0.03890212140177701,0.8100000000000005
2013,5S_T120,5,shuffled,ood_c,119.02287006378174,25.91965857858493,119.1393494606018,143.8210368156433,-0.03847897634336992,0.8100000000000005
2014,5S_T120,5,shuffled,ood_c,118.95508766174316,25.8417329381787,119.08254623413086,142.78430938720703,-0.04025841657123407,0.8100000000000005
2015,5S_T120,5,shuffled,ood_c,118.95163059234619,25.25780989647208,119.05850172042847,142.0761227607727,-0.03817729448986272,0.8100000000000005
2031,5S_T120,5,shuffled,ood_c,118.93032789230347,27.184473701086738,119.004225730896,142.5070881843567,-0.04373317386381362,0.8100000000000005
2032,5S_T120,5,shuffled,ood_c,118.83145570755005,27.286586088006114,118.88964176177979,141.491961479187,-0.044554591219975334,0.8100000000000005
