sim_id,struct_id,n_stories,model,partition,rel_l2_u_pct,peak_disp_err_pct,idr_err_pct,story_shear_err_pct,pearson_r,delta_t_peak_s
7,3S_T090,3,t1,id,6.355184316635132,1.441601477266019,9.440518915653229,5.440180748701096,0.999325663470681,0.39000000000000057
26,3S_T090,3,t1,id,5.956216901540756,2.403958663742003,8.697780966758728,6.541097909212112,0.9994688512332388,0.39000000000000057
40,3S_T060,3,t1,id,5.315210670232773,3.0057793735108023,11.014175415039062,9.804637730121613,0.9989133517206742,0.009999999999999787
43,3S_T090,3,t1,id,4.152127727866173,0.6437057120975819,6.800387054681778,5.525398626923561,0.9995567800582852,0.0
76,3S_T060,3,t1,id,4.669463261961937,1.1747814952670141,10.878755152225494,9.371406584978104,0.9992713622766668,0.0
81,5S_T055,5,t1,id,4.894310608506203,3.065333426770222,12.918807566165924,10.409512370824814,0.9991694895074914,0.0
90,3S_T035,3,t1,id,6.07224702835083,0.5573240853060152,11.501690745353699,8.686583489179611,0.9981899976959616,0.0
95,3S_T060,3,t1,id,4.484762996435165,1.540002400309629,11.161889880895615,9.290307015180588,0.9993207248478294,0.0
128,3S_T035,3,t1,id,5.8113787323236465,2.9964108142953423,12.13419958949089,8.730345964431763,0.9982287108390295,0.0
136,5S_T055,5,t1,id,5.152009800076485,0.713359055223243,13.190063834190369,10.419487208127975,0.9990592211833831,0.0
140,5S_T085,5,t1,id,4.232443869113922,3.1421861928328543,12.293055653572083,5.392880737781525,0.9991866284742758,0.0
155,5S_T055,5,t1,id,5.031337961554527,1.0814201261265168,14.17938619852066,10.23537591099739,0.9988064147917399,0.0
158,5S_T085,5,t1,id,6.818189471960068,8.142935133053928,17.295199632644653,5.7459864765405655,0.9987924705115178,0.0
162,3S_T035,3,t1,id,6.540003418922424,5.049784624816119,13.284353911876678,9.562056511640549,0.9980069769448378,0.010000000000000231
174,5S_T085,5,t1,id,11.929984390735626,14.069932520678416,19.84618753194809,10.955516248941422,0.998319815310324,0.0
180,3S_T035,3,t1,id,11.362259835004807,3.1707775523633464,16.46212488412857,12.728449702262878,0.9942116364476508,0.009999999999999787
200,3S_T035,3,t1,id,8.64657461643219,0.22814034691233354,13.494813442230225,10.72932854294777,0.9965216018935541,0.009999999999999787
222,3S_T090,3,t1,id,6.0521624982357025,0.0188751636512456,10.673726350069046,9.607413411140442,0.9992586043300674,0.0
244,5S_T055,5,t1,id,5.186934396624565,1.0156602481354833,13.17683458328247,10.532808303833008,0.9987758799178621,0.28000000000000114
256,3S_T060,3,t1,id,5.3503237664699554,5.538534900055909,11.732092499732971,11.119680106639862,0.9989067807613625,0.009999999999999787
257,3S_T060,3,t1,id,5.386079102754593,6.023358877490684,11.735600978136063,11.145521700382233,0.9988807131845182,0.009999999999999787
259,3S_T090,3,t1,id,4.724572971463203,1.1504716208977634,9.714685380458832,7.912241667509079,0.9993357598194266,0.009999999999999787
274,3S_T060,3,t1,id,4.951146245002747,4.150595723091961,11.405958235263824,10.917115956544876,0.9990771120608949,0.009999999999999787
290,3S_T035,3,t1,id,5.412767454981804,0.8812834611625218,11.317766457796097,8.353487402200699,0.9985885994879486,0.0
296,3S_T090,3,t1,id,4.042305052280426,0.4370968923846712,9.406591206789017,7.413320988416672,0.9994125534801278,0.0
319,5S_T085,5,t1,id,4.159928485751152,2.284764568680763,12.091770768165588,9.58707109093666,0.9990481957368125,0.009999999999999787
352,5S_T055,5,t1,id,6.071741878986359,4.73093940461937,14.501100778579712,10.696020722389221,0.9987053111242017,0.0
353,5S_T055,5,t1,id,5.757346004247665,3.234689858470162,14.36065137386322,10.67923828959465,0.9986089419323624,0.0
355,5S_T085,5,t1,id,6.0481444001197815,9.519394688793755,15.607507526874542,10.372129827737808,0.9983022252244839,0.0
356,5S_T085,5,t1,id,6.0546137392520905,9.632565949360563,15.530027449131012,10.401679575443268,0.9982193362256658,0.0
379,3S_T035,3,t1,id,8.135739713907242,4.355398065939049,13.31309974193573,10.689721256494522,0.9972103997006312,0.009999999999999787
386,3S_T090,3,t1,id,6.467439234256744,2.998120821393459,8.940818160772324,7.504419237375259,0.999367812654556,0.0
387,5S_T055,5,t1,id,6.522306799888611,1.4637964344478185,13.936282694339752,11.073525995016098,0.9987312524999591,0.009999999999999787
399,3S_T060,3,t1,id,6.276196986436844,0.9664337916424084,13.094592094421387,11.63959801197052,0.9988217577367109,0.0
406,5S_T055,5,t1,id,5.268707126379013,1.9425809347734235,13.084571063518524,10.380613803863525,0.9989683867738827,0.0
408,5S_T085,5,t1,id,4.751333594322205,3.396589871300361,10.432349145412445,7.0961616933345795,0.9994856566950324,0.0
415,3S_T035,3,t1,id,5.7989202439785,4.020044636223379,11.230473220348358,8.935878425836563,0.9984315044085836,0.0
473,3S_T060,3,t1,id,5.158816277980804,0.712831606748133,12.2479148209095,10.750093311071396,0.9991061857315081,0.0
475,3S_T090,3,t1,id,3.7267621606588364,2.7250588286592636,8.59960988163948,5.130026116967201,0.999562516401059,0.0
478,5S_T055,5,t1,id,4.099472984671593,0.7320366328204075,11.756797879934311,9.257405996322632,0.9992465124710966,0.0
499,5S_T085,5,t1,id,3.8828298449516296,4.125010799825956,12.97752857208252,5.937451869249344,0.999455092492548,0.0
505,3S_T035,3,t1,id,5.635521933436394,1.1054068731766815,12.168894708156586,8.673854172229767,0.9985312138092224,0.0
512,3S_T090,3,t1,id,4.4958848506212234,3.1078854737489197,10.648509860038757,5.499621480703354,0.9991530879769729,0.0
527,3S_T060,3,t1,id,5.716137588024139,0.7950864203727419,12.344121932983398,10.905366390943527,0.9986214650775881,0.0
535,5S_T085,5,t1,id,9.040720760822296,14.087885811739293,20.370016992092133,7.244393974542618,0.9987777167792338,0.0
541,3S_T035,3,t1,id,11.928652971982956,1.7534985701458679,17.22005158662796,12.855438888072968,0.9941550393923244,0.009999999999999787
558,3S_T035,3,t1,id,8.35551992058754,2.422263180937752,13.073115050792694,10.220856219530106,0.9968749457312859,0.009999999999999787
559,3S_T035,3,t1,id,8.57744887471199,1.8784201302555168,13.245460391044617,10.12241393327713,0.9967699393802928,0.009999999999999787
568,5S_T055,5,t1,id,6.299307942390442,1.0451641696125742,13.028864562511444,10.19623950123787,0.9987475827312099,0.0
581,3S_T060,3,t1,id,6.59724697470665,1.1445245917211557,14.17989432811737,13.755065202713013,0.998573628761793,2.2200000000000006
590,5S_T085,5,t1,id,4.470944032073021,0.3823034487292084,10.355909913778305,7.4133142828941345,0.9993762679200316,0.009999999999999787
597,3S_T060,3,t1,id,6.450416147708893,2.12472981845839,13.749280571937561,13.182556629180908,0.9986224964971943,2.2200000000000006
618,3S_T090,3,t1,id,4.436109215021133,4.823712674734157,8.64328071475029,6.975004076957703,0.9995646068012277,0.010000000000000675
638,3S_T090,3,t1,id,3.8832612335681915,4.180769562094147,8.244189620018005,6.033233180642128,0.9995506888835616,0.010000000000000675
655,3S_T090,3,t1,id,3.499755635857582,2.199053315245716,7.76774063706398,5.342340469360352,0.999553168678014,0.010000000000000675
658,5S_T055,5,t1,id,4.419058933854103,0.2292266044941592,11.585035920143127,8.08037742972374,0.9991180063095023,0.0
661,5S_T085,5,t1,id,3.4768305718898773,1.3289912702309024,10.09443998336792,6.414244323968887,0.9994924349865751,0.0
670,3S_T060,3,t1,id,5.288682132959366,0.009865926931357034,12.639288604259491,12.101931869983673,0.998958242433643,0.0
676,5S_T055,5,t1,id,4.420261457562447,0.6388764783500691,12.182063609361649,7.991006225347519,0.9991446743982467,0.0
698,5S_T085,5,t1,id,5.362193658947945,9.030219630599738,15.540291368961334,6.512869149446487,0.9990741306794452,0.0
724,3S_T060,3,t1,id,9.18831080198288,4.864719699696661,12.151379883289337,8.748582005500793,0.997250554945103,0.0
727,3S_T090,3,t1,id,8.81391242146492,0.19791943960382746,12.170616537332535,6.903623789548874,0.9984824673470059,0.0
738,3S_T035,3,t1,id,8.723963797092438,5.062270666756322,13.071165978908539,9.057912230491638,0.9972587310598336,0.010000000000001563
746,3S_T090,3,t1,id,6.203736737370491,0.05386069109513076,8.947763592004776,5.675262212753296,0.9986834121612556,0.009999999999999787
767,5S_T055,5,t1,id,5.064712092280388,0.7677458323732996,10.377586632966995,6.356333941221237,0.9986265507976383,0.0
768,5S_T085,5,t1,id,5.797502398490906,0.0389318744769313,12.076086550951004,6.715376675128937,0.9985225486544046,0.0
786,5S_T085,5,t1,id,4.829224944114685,0.6792636863830132,11.598005145788193,6.0714080929756165,0.9988551013966281,0.0
801,5S_T055,5,t1,id,4.636183753609657,2.676043410120579,10.755293816328049,5.877720937132835,0.998957548943919,0.0
811,3S_T035,3,t1,id,4.988047853112221,4.160848795471188,9.709721803665161,5.847868323326111,0.99905728570902,1.3000000000000007
815,3S_T060,3,t1,id,4.346884414553642,0.5477540141625725,7.795615494251251,5.087499693036079,0.9990595983883915,0.0
832,3S_T060,3,t1,id,4.1472021490335464,0.9069725189596188,7.654113322496414,5.0200555473566055,0.9991590001714994,0.0
839,5S_T055,5,t1,id,3.90251986682415,1.3247989339111694,9.713546931743622,5.438477173447609,0.9990956287132348,0.010000000000001563
853,3S_T090,3,t1,id,3.6024972796440125,1.0550754334389936,7.908482849597931,4.502302035689354,0.9994266897860452,0.009999999999999787
858,5S_T085,5,t1,id,3.47546823322773,0.144606068902747,9.555903822183609,5.0728607922792435,0.999241686522511,0.010000000000001563
866,3S_T035,3,t1,id,5.063224583864212,4.3369121174571745,9.864270687103271,6.2300462275743484,0.9987640215123087,0.0
909,5S_T055,5,t1,id,8.223126828670502,1.2957525828145227,14.612573385238647,10.54346114397049,0.9980526592075437,0.009999999999999787
924,3S_T090,3,t1,id,6.189386546611786,1.4375594516847163,10.193964093923569,8.830566704273224,0.9992730797801557,0.0
937,3S_T035,3,t1,id,6.982969492673874,1.6299842896387073,11.442430317401886,8.56379121541977,0.998103121880128,0.0
943,3S_T090,3,t1,id,4.549486935138702,2.427744874969704,8.161982148885727,7.398436963558197,0.9993545745102853,0.0
956,3S_T035,3,t1,id,6.068388372659683,3.500264213735725,10.805678367614746,8.059845864772797,0.9985105473963162,0.0
967,5S_T085,5,t1,id,5.210202932357788,2.7647028636471136,12.539008259773254,10.60236394405365,0.9990652100685792,0.0
975,3S_T060,3,t1,id,4.702530428767204,2.755852645436749,9.951026737689972,9.138471633195877,0.999137794208319,0.0
982,5S_T055,5,t1,id,4.984693229198456,2.049724829572209,12.644150853157043,8.214152604341507,0.9990435488351814,0.009999999999999787
986,5S_T085,5,t1,id,4.668620973825455,3.312571583384094,11.693879961967468,9.970827400684357,0.9991763775315946,0.0
992,3S_T035,3,t1,id,4.959581792354584,0.9552695840484019,9.930506348609924,7.541189342737198,0.9988058470434353,0.0
999,5S_T055,5,t1,id,5.289800837635994,1.9832430310132043,13.31360787153244,8.10500681400299,0.9991278854782312,0.009999999999999787
1003,5S_T085,5,t1,id,4.642224311828613,3.808908464560638,11.45077496767044,9.583671391010284,0.9991757496976924,0.0
1014,3S_T090,3,t1,id,3.313519060611725,0.6427491598038052,7.350709289312363,5.675320699810982,0.9995373010912326,0.0
1047,3S_T060,3,t1,id,5.629442632198334,3.049178184971197,12.232324481010437,9.32474434375763,0.9985965001810249,8.66
1066,3S_T060,3,t1,id,7.170134037733078,7.625683387852561,13.639949262142181,9.767719358205795,0.9979902893461373,8.66
1081,3S_T035,3,t1,id,12.047051638364792,3.808343804161623,16.785360872745514,11.717371642589569,0.9943171554684165,0.010000000000001563
1085,3S_T060,3,t1,id,7.4215225875377655,2.835667725769523,11.47567480802536,8.557640016078949,0.9988064838417728,0.0
1107,5S_T055,5,t1,id,7.506103068590164,1.4931011103522764,14.045438170433044,9.552185982465744,0.9982224269991664,0.0
1121,3S_T060,3,t1,id,5.026960372924805,4.510641434227958,8.75941589474678,7.581592351198196,0.9992835586891823,0.0
1126,5S_T055,5,t1,id,5.620177462697029,1.5189641581620204,12.301421910524368,8.744616061449051,0.9987329876099539,5.880000000000001
1160,3S_T090,3,t1,id,4.956793412566185,1.4897352507034718,9.34002697467804,6.3873134553432465,0.9989539644241107,0.0
1161,5S_T055,5,t1,id,4.733729735016823,1.3708691387469405,11.554429680109024,7.735887914896011,0.9989014141649173,0.00999999999999801
1165,5S_T085,5,t1,id,5.313853919506073,1.151807620456451,12.138304114341736,7.37297460436821,0.9988324903358947,0.00999999999999801
1175,3S_T060,3,t1,id,3.8556981831789017,2.251314968730476,8.160940557718277,6.618835031986237,0.9994089096603568,0.0
1190,3S_T035,3,t1,id,4.841012507677078,0.5137948113887154,9.452483057975769,6.149530410766602,0.9988174328822789,0.010000000000001563
1214,3S_T090,3,t1,id,4.237793385982513,0.7571349090001992,8.950256556272507,5.9816814959049225,0.9990832511099917,0.0
1219,5S_T085,5,t1,id,4.309417679905891,2.5587990930741227,11.758338660001755,6.6413648426532745,0.998819094561503,0.00999999999999801
1238,5S_T085,5,t1,id,4.837344586849213,4.943403484034613,13.268277049064636,6.719768047332764,0.9985415999435142,0.00999999999999801
1244,3S_T035,3,t1,id,5.851345881819725,0.20747015312951397,10.733183473348618,7.469741255044937,0.9983121775716585,0.010000000000001563
1249,3S_T090,3,t1,id,34.2547208070755,2.457411382028558,43.47069561481476,15.702830255031586,0.9665094412563878,0.0
1297,3S_T035,3,t1,id,6.672178208827972,2.1660947299032953,10.67761555314064,7.890677452087402,0.9985530804226751,0.0
1307,5S_T055,5,t1,id,5.739495903253555,1.8314983477880593,13.205578923225403,9.312879294157028,0.9983180006101176,0.00999999999999801
1315,3S_T035,3,t1,id,6.351204216480255,2.513895003233877,10.614018142223358,7.349925488233566,0.9987602045011478,0.0
1318,3S_T060,3,t1,id,6.15650936961174,3.2776831951519716,9.859173744916916,7.993481308221817,0.9985546299678592,0.28000000000000114
1320,3S_T090,3,t1,id,4.387429356575012,2.3547813055542552,8.460332453250885,7.610210031270981,0.99938438123395,0.010000000000001563
1323,5S_T055,5,t1,id,5.373933166265488,0.1663307037386153,12.687014043331146,8.694436401128769,0.9987771427766633,0.00999999999999801
1334,3S_T035,3,t1,id,5.338545888662338,2.0399100370285583,9.745607525110245,6.639210134744644,0.9989220118139464,0.0
1359,5S_T055,5,t1,id,4.2997583746910095,1.8392126784463054,11.127691715955734,7.969214022159576,0.999198189719523,0.00999999999999801
1376,3S_T090,3,t1,id,3.6690544337034225,0.3842434952002638,7.878240197896957,5.931128561496735,0.999391106645857,2.41
1391,3S_T060,3,t1,id,5.34428097307682,0.043936257552371724,9.96280387043953,7.320250570774078,0.998515984767622,0.28000000000000114
1408,3S_T060,3,t1,id,6.022533401846886,3.203610128652427,11.255936324596405,7.75657445192337,0.9981757103458344,0.0
1410,3S_T090,3,t1,id,5.085843428969383,6.162696695212241,13.096307218074799,6.949950754642487,0.9989525948983927,0.030000000000001137
1418,5S_T085,5,t1,id,6.431629508733749,6.1483393527922585,16.70064777135849,8.068633079528809,0.9984613294223121,0.0
1434,5S_T085,5,t1,id,8.674683421850204,10.7892854188687,21.16512954235077,8.685340732336044,0.9981579293569288,0.0
1435,5S_T085,5,t1,id,9.170565754175186,11.883769022413409,21.742816269397736,8.90580415725708,0.9981229228826429,0.0
