sim_id,struct_id,n_stories,model,partition,rel_l2_u_pct,peak_disp_err_pct,idr_err_pct,story_shear_err_pct,pearson_r,delta_t_peak_s
10000,5S_T105,5,t1,progressive_5S_T105,148.65145683288574,21.52481536122266,162.74662017822266,112.95310258865356,0.2782449352399547,0.7199999999999998
10001,5S_T105,5,t1,progressive_5S_T105,146.56695127487183,19.274154746701836,161.3263726234436,112.12620735168457,0.2890222261738324,0.71
10002,5S_T105,5,t1,progressive_5S_T105,149.07937049865723,22.860717065088192,162.63887882232666,112.73294687271118,0.2803396482413677,0.71
10006,5S_T105,5,t1,progressive_5S_T105,145.49213647842407,16.977289801976177,158.448326587677,114.20408487319946,0.2730476814900582,0.71
10007,5S_T105,5,t1,progressive_5S_T105,143.70850324630737,15.04797734980538,157.22635984420776,113.44910860061646,0.2832754500871982,0.6999999999999993
10008,5S_T105,5,t1,progressive_5S_T105,145.80564498901367,18.023019543433602,158.39178562164307,113.9449954032898,0.2749962494166333,0.6999999999999993
10012,5S_T105,5,t1,progressive_5S_T105,140.97974300384521,11.500291417674982,152.4251937866211,114.52600955963135,0.26272372679067924,0.6999999999999993
10013,5S_T105,5,t1,progressive_5S_T105,139.6369457244873,9.768043289317543,151.50333642959595,113.93537521362305,0.2704202165268872,0.6999999999999993
10014,5S_T105,5,t1,progressive_5S_T105,141.04137420654297,11.892638106974442,152.36005783081055,114.23482894897461,0.26368738292979493,0.6999999999999993
10018,5S_T105,5,t1,progressive_5S_T105,137.6176357269287,6.564608648483351,147.63197898864746,114.70502614974976,0.2548045329200686,0.6899999999999995
10019,5S_T105,5,t1,progressive_5S_T105,136.64408922195435,5.472755591067502,146.93759679794312,114.22977447509766,0.25957121345618117,0.6899999999999995
10020,5S_T105,5,t1,progressive_5S_T105,137.60316371917725,6.741433658238656,147.6407527923584,114.43191766738892,0.2549758240078113,0.6899999999999995
10024,5S_T105,5,t1,progressive_5S_T105,135.1682424545288,2.52932199621086,144.02977228164673,114.67119455337524,0.24729707816098018,0.6899999999999995
10025,5S_T105,5,t1,progressive_5S_T105,134.44832563400269,1.6520382755338927,143.49439144134521,114.26917314529419,0.25020752954155995,0.6899999999999995
10026,5S_T105,5,t1,progressive_5S_T105,135.11223793029785,2.4974383929415045,144.05168294906616,114.40945863723755,0.24713626197613486,0.6899999999999995
10030,5S_T105,5,t1,progressive_5S_T105,133.3600401878357,0.170494815003803,141.43739938735962,114.32965993881226,0.24052163943854915,0.6899999999999995
10031,5S_T105,5,t1,progressive_5S_T105,132.78733491897583,1.0152964192925744,141.0062551498413,113.95573616027832,0.24239255121476636,0.6899999999999995
10032,5S_T105,5,t1,progressive_5S_T105,133.26406478881836,0.1657131244689082,141.44253730773926,114.09640312194824,0.240200854487856,0.6899999999999995
10036,5S_T105,5,t1,progressive_5S_T105,131.80750608444214,3.1684085790300442,139.6719455718994,113.76385688781738,0.23568765549946702,0.6899999999999995
10037,5S_T105,5,t1,progressive_5S_T105,131.29314184188843,3.9604483736240983,139.26639556884766,113.36501836776733,0.23707580439071557,0.6899999999999995
10038,5S_T105,5,t1,progressive_5S_T105,131.66197538375854,3.3165412310111013,139.63547945022583,113.56470584869385,0.2352317928255467,0.6899999999999995
10042,5S_T105,5,t1,progressive_5S_T105,129.0116548538208,9.409865245426937,138.4392261505127,112.7777099609375,0.23111323507793866,0.6899999999999995
10043,5S_T105,5,t1,progressive_5S_T105,128.4775972366333,10.479845206173053,138.0110263824463,112.28210926055908,0.23261050015162457,0.6899999999999995
10044,5S_T105,5,t1,progressive_5S_T105,128.72432470321655,10.129278531495402,138.28883171081543,112.61460781097412,0.23058403704101138,0.6899999999999995
10048,5S_T105,5,t1,progressive_5S_T105,125.21806955337524,16.54523722952946,136.8393063545227,111.06950044631958,0.2304546837759401,0.6899999999999995
10049,5S_T105,5,t1,progressive_5S_T105,126.50752067565918,10.294598824728157,138.8832449913025,111.09837293624878,0.24315444565885377,0.17999999999999972
10050,5S_T105,5,t1,progressive_5S_T105,124.9424934387207,17.303954939049383,136.77266836166382,110.99498271942139,0.22992629104262427,0.6899999999999995
10054,5S_T105,5,t1,progressive_5S_T105,119.92039680480957,24.029099141742837,132.02327489852905,108.03288221359253,0.2323520353850194,0.6899999999999995
10055,5S_T105,5,t1,progressive_5S_T105,122.19443321228027,20.793687897283842,131.92294836044312,109.38200950622559,0.26197253090047007,0.16999999999999993
10056,5S_T105,5,t1,progressive_5S_T105,119.77120637893677,24.45359045554137,132.0691704750061,108.03130865097046,0.2317597150871992,0.6899999999999995
10060,5S_T105,5,t1,progressive_5S_T105,124.66212511062622,14.033342559962545,132.74918794631958,103.18902730941772,0.257799860914079,0.7099999999999991
10061,5S_T105,5,t1,progressive_5S_T105,124.188232421875,12.440709751425041,133.03736448287964,103.242027759552,0.26367836971441583,0.7099999999999991
10062,5S_T105,5,t1,progressive_5S_T105,125.48016309738159,14.84369963820905,133.5606575012207,103.46211194992065,0.2551706512071698,0.7099999999999991
10066,5S_T105,5,t1,progressive_5S_T105,122.58585691452026,17.723476130150583,130.36885261535645,102.98042297363281,0.26596258312059423,0.7099999999999991
10067,5S_T105,5,t1,progressive_5S_T105,122.22100496292114,16.330693969231596,130.63973188400269,102.98160314559937,0.27131164572558497,0.7099999999999991
10068,5S_T105,5,t1,progressive_5S_T105,123.15435409545898,18.334406663104254,130.94449043273926,103.05979251861572,0.26427234046504344,0.7099999999999991
10072,5S_T105,5,t1,progressive_5S_T105,119.74172592163086,15.554365245400763,126.54861211776733,102.60865688323975,0.26756972955125213,0.7200000000000006
10073,5S_T105,5,t1,progressive_5S_T105,119.37600374221802,14.258190561936216,126.53098106384277,102.49942541122437,0.27198597589047735,0.7200000000000006
10074,5S_T105,5,t1,progressive_5S_T105,120.02748250961304,15.572279080161207,126.92697048187256,102.57073640823364,0.26671795784713165,0.7200000000000006
10078,5S_T105,5,t1,progressive_5S_T105,118.17725896835327,9.097668658704002,124.52384233474731,102.93021202087402,0.26543630882258396,0.7200000000000006
10079,5S_T105,5,t1,progressive_5S_T105,117.84876585006714,8.226317531342568,124.3778944015503,102.79111862182617,0.2683516605303221,0.7200000000000006
10080,5S_T105,5,t1,progressive_5S_T105,118.34168434143066,9.089029358718326,124.80870485305786,102.90123224258423,0.2645427387678013,0.7200000000000006
10084,5S_T105,5,t1,progressive_5S_T105,116.89896583557129,5.355578417172606,122.5964903831482,103.1786561012268,0.2621105167159188,0.7300000000000004
10085,5S_T105,5,t1,progressive_5S_T105,116.67985916137695,4.621514315943919,122.48581647872925,103.06884050369263,0.26339178328061397,0.7300000000000004
10086,5S_T105,5,t1,progressive_5S_T105,117.05220937728882,5.354715234377417,122.87400960922241,103.18598747253418,0.2606927665418648,0.7300000000000004
10090,5S_T105,5,t1,progressive_5S_T105,115.70199728012085,2.281403663610804,120.89020013809204,103.16311120986938,0.25982480714758605,0.7400000000000002
10091,5S_T105,5,t1,progressive_5S_T105,115.56612253189087,1.6821798395945962,120.81096172332764,103.07290554046631,0.25977945471215946,0.7400000000000002
10092,5S_T105,5,t1,progressive_5S_T105,115.84699153900146,2.2975911458735405,121.12728357315063,103.18925380706787,0.2578251274744511,0.7400000000000002
10096,5S_T105,5,t1,progressive_5S_T105,114.65450525283813,0.6973621831427905,119.69801187515259,103.00943851470947,0.25950079941874,0.7400000000000002
10097,5S_T105,5,t1,progressive_5S_T105,114.54583406448364,1.2274013861931605,119.62897777557373,102.91907787322998,0.2586303012435855,0.7400000000000002
10098,5S_T105,5,t1,progressive_5S_T105,114.75310325622559,0.7329058918086332,119.86278295516968,103.03397178649902,0.25708251535894094,0.7400000000000002
10102,5S_T105,5,t1,progressive_5S_T105,112.85159587860107,5.924440082321036,118.32038164138794,102.50362157821655,0.2634997345842413,0.75
10103,5S_T105,5,t1,progressive_5S_T105,112.64498233795166,6.759171726955898,118.19846630096436,102.36283540725708,0.2621156776634625,0.7400000000000002
10104,5S_T105,5,t1,progressive_5S_T105,112.715744972229,6.390082499782568,118.23595762252808,102.45451927185059,0.26122920957132933,0.75
10108,5S_T105,5,t1,progressive_5S_T105,111.03559732437134,10.867237903772983,117.41883754730225,101.77673101425171,0.2697251857272363,0.7400000000000002
10109,5S_T105,5,t1,progressive_5S_T105,110.64579486846924,12.077667270514644,117.13941097259521,101.55012607574463,0.2685565283627432,0.7400000000000002
10110,5S_T105,5,t1,progressive_5S_T105,110.61785221099854,11.750697986362356,117.02710390090942,101.59921646118164,0.26849595989784397,0.7400000000000002
10114,5S_T105,5,t1,progressive_5S_T105,108.73987674713135,16.4768066199817,116.0175085067749,100.58115720748901,0.2766091599700106,0.7400000000000002
10115,5S_T105,5,t1,progressive_5S_T105,108.55438709259033,17.802312196323474,116.2016749382019,100.10837316513062,0.28179196246232735,0.7400000000000002
10116,5S_T105,5,t1,progressive_5S_T105,108.12585353851318,17.479354640725127,115.3446912765503,100.27347803115845,0.2770184694939431,0.7400000000000002
